Date,Open,High,Low,Close,Volume,Ticker
2020-11-30,116.97000122070312,120.97000122070312,116.80999755859375,115.88948059082031,169410200,AAPL
2020-12-01,121.01000213623047,123.47000122070312,120.01000213623047,119.46205139160156,127728200,AAPL
2020-12-02,122.0199966430664,123.37000274658203,120.88999938964844,119.8125,89004200,AAPL
2020-12-03,123.5199966430664,123.77999877929688,122.20999908447266,119.67623138427734,78967600,AAPL
2020-12-04,122.5999984741211,122.86000061035156,121.5199966430664,119.00455474853516,78260400,AAPL
2020-12-07,122.30999755859375,124.56999969482422,122.25,120.46472930908203,86712000,AAPL
2020-12-08,124.37000274658203,124.9800033569336,123.08999633789062,121.0779800415039,82225500,AAPL
2020-12-09,124.52999877929688,125.94999694824219,121.0,118.54702758789062,115089200,AAPL
2020-12-10,120.5,123.87000274658203,120.1500015258789,119.96826171875,81312200,AAPL
2020-12-11,122.43000030517578,122.76000213623047,120.55000305175781,119.16029357910156,86939800,AAPL
2020-12-14,122.5999984741211,123.3499984741211,121.54000091552734,118.54702758789062,79184500,AAPL
2020-12-15,124.33999633789062,127.9000015258789,124.12999725341797,124.48506164550781,157243700,AAPL
2020-12-16,127.41000366210938,128.3699951171875,126.55999755859375,124.41694641113281,98208600,AAPL
2020-12-17,128.89999389648438,129.5800018310547,128.0399932861328,125.2833251953125,94359800,AAPL
2020-12-18,128.9600067138672,129.10000610351562,126.12000274658203,123.29747772216797,192541500,AAPL
2020-12-21,125.0199966430664,128.30999755859375,123.44999694824219,124.82577514648438,121251600,AAPL
2020-12-22,131.61000061035156,134.41000366210938,129.64999389648438,128.37889099121094,168904800,AAPL
2020-12-23,132.16000366210938,132.42999267578125,130.77999877929688,127.48332214355469,88223700,AAPL
2020-12-24,131.32000732421875,133.4600067138672,131.10000610351562,128.46652221679688,54930100,AAPL
2020-12-28,133.99000549316406,137.33999633789062,133.50999450683594,133.0612030029297,124486200,AAPL
2020-12-29,138.0500030517578,138.7899932861328,134.33999633789062,131.2895050048828,121047300,AAPL
2020-12-30,135.5800018310547,135.99000549316406,133.39999389648438,130.1700439453125,96452100,AAPL
2020-12-31,134.0800018310547,134.74000549316406,131.72000122070312,129.16738891601562,99116600,AAPL
