Date,Open,High,Low,Close,Volume,Ticker
2020-11-30,89.05919647216797,89.40325164794922,87.75,87.43863677978516,36476000,GOOG
2020-12-01,88.71849822998047,91.24150085449219,88.46849822998047,89.29393005371094,34738000,GOOG
2020-12-02,89.90499877929688,91.78250122070312,89.47364807128906,90.77629089355469,24440000,GOOG
2020-12-03,91.20050048828125,92.36000061035156,91.13249969482422,90.71768951416016,24546000,GOOG
2020-12-04,91.22599792480469,91.65799713134766,90.84950256347656,90.77827453613281,27564000,GOOG
2020-12-07,90.94999694824219,91.61849975585938,90.28900146484375,90.35566711425781,26418000,GOOG
2020-12-08,90.50499725341797,91.09500122070312,89.81024932861328,90.30947875976562,21926000,GOOG
2020-12-09,90.60050201416016,91.7135009765625,88.3905029296875,88.60018157958984,30152000,GOOG
2020-12-10,88.48999786376953,89.06549835205078,87.01599884033203,88.1631851196289,27256000,GOOG
2020-12-11,88.15299987792969,89.22250366210938,88.0,88.48298645019531,24414000,GOOG
2020-12-14,88.75,89.86949920654297,87.86074829101562,87.40486145019531,32004000,GOOG
2020-12-15,88.22100067138672,88.57099914550781,87.49749755859375,87.78775787353516,29646000,GOOG
2020-12-16,88.64399719238281,88.6500015258789,87.80400085449219,87.55086517333984,30270000,GOOG
2020-12-17,88.42549896240234,88.58920288085938,86.93299865722656,86.80098724365234,32494000,GOOG
2020-12-18,87.70899963378906,87.75550079345703,86.01100158691406,85.96223449707031,80328000,GOOG
2020-12-21,85.67549896240234,87.0425033569336,84.94999694824219,86.37739562988281,36568000,GOOG
2020-12-22,86.72149658203125,86.87024688720703,85.62875366210938,85.58928680419922,18734000,GOOG
2020-12-23,86.40550231933594,87.39949798583984,86.25199890136719,86.03026580810547,20676000,GOOG
2020-12-24,86.75,87.30000305175781,86.45549774169922,86.35157012939453,6936000,GOOG
2020-12-28,87.58174896240234,89.5363998413086,87.3167495727539,88.20092010498047,27860000,GOOG
2020-12-29,89.3895034790039,89.62200164794922,87.80449676513672,87.33832550048828,25988000,GOOG
2020-12-30,88.10050201416016,88.25475311279297,86.27999877929688,86.38484191894531,26122000,GOOG
2020-12-31,86.77100372314453,87.94650268554688,86.77100372314453,86.99864959716797,20238000,GOOG
2021-01-04,87.87699890136719,88.03250122070312,85.39250183105469,85.82467651367188,38038000,GOOG
2021-01-05,86.25,87.38349914550781,85.90074920654297,86.4543685913086,22906000,GOOG
2021-01-06,85.13150024414062,87.4000015258789,84.94999694824219,86.1747817993164,52042000,GOOG
2021-01-07,87.00299835205078,89.41999816894531,86.85250091552734,88.755126953125,45300000,GOOG
2021-01-08,89.39900207519531,90.49199676513672,88.67675018310547,89.746337890625,41012000,GOOG
2021-01-11,89.30349731445312,89.71575164794922,88.0260009765625,87.73561096191406,24194000,GOOG
2021-01-12,87.69599914550781,88.9020004272461,86.2655029296875,86.73394775390625,27140000,GOOG
2021-01-13,86.92900085449219,88.25174713134766,86.90049743652344,87.12379455566406,21882000,GOOG
2021-01-14,87.68099975585938,88.75050354003906,86.66999816894531,86.4176254272461,23590000,GOOG
2021-01-15,86.90950012207031,87.80000305175781,86.07749938964844,86.21947479248047,26844000,GOOG
2021-01-19,87.61250305175781,90.46375274658203,87.072998046875,88.93440246582031,34692000,GOOG
2021-01-20,91.572998046875,95.18550109863281,91.27649688720703,93.70375061035156,49806000,GOOG
2021-01-21,94.9000015258789,96.74299621582031,94.35549926757812,93.91978454589844,41278000,GOOG
2021-01-22,94.78399658203125,95.54750061035156,94.08799743652344,94.40644073486328,25442000,GOOG
2021-01-25,96.03350067138672,96.47899627685547,93.37650299072266,94.32451629638672,38546000,GOOG
2021-01-26,94.44200134277344,96.25,94.21224975585938,95.21044921875,26262000,GOOG
2021-01-27,94.12650299072266,94.5,90.44999694824219,90.91732025146484,54966000,GOOG
2021-01-28,92.1969985961914,94.94149780273438,92.13200378417969,92.52234649658203,35462000,GOOG
2021-01-29,92.30850219726562,92.86399841308594,90.51000213623047,91.16315460205078,32252000,GOOG
2021-02-01,92.67849731445312,96.11959838867188,92.54650115966797,94.42134857177734,32044000,GOOG
2021-02-02,96.12799835205078,97.78800201416016,95.72450256347656,95.720458984375,45474000,GOOG
2021-02-03,103.6500015258789,105.82499694824219,100.91899871826172,102.80001831054688,82364000,GOOG
