Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2020-11-27,113.49479675292969,116.58999633789062,117.48999786376953,116.22000122070312,116.56999969482422,46691300,AAPL
2020-11-30,115.88949584960938,119.05000305175781,120.97000122070312,116.80999755859375,116.97000122070312,169410200,AAPL
2020-12-01,119.46206665039062,122.72000122070312,123.47000122070312,120.01000213623047,121.01000213623047,127728200,AAPL
2020-12-02,119.8125228881836,123.08000183105469,123.37000274658203,120.88999938964844,122.0199966430664,89004200,AAPL
2020-12-03,119.67623138427734,122.94000244140625,123.77999877929688,122.20999908447266,123.5199966430664,78967600,AAPL
2020-12-04,119.00454711914062,122.25,122.86000061035156,121.5199966430664,122.5999984741211,78260400,AAPL
2020-12-07,120.4647216796875,123.75,124.56999969482422,122.25,122.30999755859375,86712000,AAPL
2020-12-08,121.07799530029297,124.37999725341797,124.9800033569336,123.08999633789062,124.37000274658203,82225500,AAPL
2020-12-09,118.5470199584961,121.77999877929688,125.94999694824219,121.0,124.52999877929688,115089200,AAPL
2020-12-10,119.96826171875,123.23999786376953,123.87000274658203,120.1500015258789,120.5,81312200,AAPL
2020-12-11,119.16031646728516,122.41000366210938,122.76000213623047,120.55000305175781,122.43000030517578,86939800,AAPL
2020-12-14,118.5470199584961,121.77999877929688,123.3499984741211,121.54000091552734,122.5999984741211,79184500,AAPL
2020-12-15,124.48507690429688,127.87999725341797,127.9000015258789,124.12999725341797,124.33999633789062,157243700,AAPL
2020-12-16,124.41692352294922,127.80999755859375,128.3699951171875,126.55999755859375,127.41000366210938,98208600,AAPL
2020-12-17,125.28330993652344,128.6999969482422,129.5800018310547,128.0399932861328,128.89999389648438,94359800,AAPL
2020-12-18,123.29747009277344,126.66000366210938,129.10000610351562,126.12000274658203,128.9600067138672,192541500,AAPL
2020-12-21,124.82579803466797,128.22999572753906,128.30999755859375,123.44999694824219,125.0199966430664,121251600,AAPL
2020-12-22,128.37890625,131.8800048828125,134.41000366210938,129.64999389648438,131.61000061035156,168904800,AAPL
2020-12-23,127.48328399658203,130.9600067138672,132.42999267578125,130.77999877929688,132.16000366210938,88223700,AAPL
2020-12-24,128.4665069580078,131.97000122070312,133.4600067138672,131.10000610351562,131.32000732421875,54930100,AAPL
2020-12-28,133.06118774414062,136.69000244140625,137.33999633789062,133.50999450683594,133.99000549316406,124486200,AAPL
2020-12-29,131.2895050048828,134.8699951171875,138.7899932861328,134.33999633789062,138.0500030517578,121047300,AAPL
2020-12-30,130.17001342773438,133.72000122070312,135.99000549316406,133.39999389648438,135.5800018310547,96452100,AAPL
2020-12-31,129.16738891601562,132.69000244140625,134.74000549316406,131.72000122070312,134.0800018310547,99116600,AAPL
2021-01-04,125.97447204589844,129.41000366210938,133.61000061035156,126.76000213623047,133.52000427246094,143301900,AAPL
2021-01-05,127.531982421875,131.00999450683594,131.74000549316406,128.42999267578125,128.88999938964844,97664900,AAPL
2021-01-06,123.23907470703125,126.5999984741211,131.0500030517578,126.37999725341797,127.72000122070312,155088000,AAPL
2021-01-07,127.44438934326172,130.9199981689453,131.6300048828125,127.86000061035156,128.36000061035156,109578200,AAPL
2021-01-08,128.54434204101562,132.0500030517578,132.6300048828125,130.22999572753906,132.42999267578125,105158200,AAPL
2021-01-11,125.5558853149414,128.97999572753906,130.1699981689453,128.5,129.19000244140625,100384500,AAPL
2021-01-12,125.38067626953125,128.8000030517578,129.69000244140625,126.86000061035156,128.5,91951100,AAPL
2021-01-13,127.41521453857422,130.88999938964844,131.4499969482422,128.49000549316406,128.75999450683594,88636800,AAPL
2021-01-14,125.48772430419922,128.91000366210938,131.0,128.75999450683594,130.8000030517578,90221800,AAPL
2021-01-15,123.76473236083984,127.13999938964844,130.22000122070312,127.0,128.77999877929688,111598500,AAPL
2021-01-19,124.43641662597656,127.83000183105469,128.7100067138672,126.94000244140625,127.77999877929688,90757300,AAPL
2021-01-20,128.5249481201172,132.02999877929688,132.49000549316406,128.5500030517578,128.66000366210938,104319500,AAPL
2021-01-21,133.23638916015625,136.8699951171875,139.6699981689453,133.58999633789062,133.8000030517578,120150900,AAPL
2021-01-22,135.37799072265625,139.07000732421875,139.85000610351562,135.02000427246094,136.27999877929688,114459400,AAPL
2021-01-25,139.12579345703125,142.9199981689453,145.08999633789062,136.5399932861328,143.07000732421875,157611700,AAPL
2021-01-26,139.35943603515625,143.16000366210938,144.3000030517578,141.3699951171875,143.60000610351562,98390600,AAPL
2021-01-27,138.28863525390625,142.05999755859375,144.3000030517578,140.41000366210938,143.42999267578125,140843800,AAPL
2021-01-28,133.45057678222656,137.08999633789062,141.99000549316406,136.6999969482422,139.52000427246094,142621100,AAPL
2021-01-29,128.45680236816406,131.9600067138672,136.74000549316406,130.2100067138672,135.8300018310547,177523800,AAPL
2021-02-01,130.57887268066406,134.13999938964844,135.3800048828125,130.92999267578125,133.75,106239800,AAPL
2021-02-02,131.4063720703125,134.99000549316406,136.30999755859375,134.61000061035156,135.72999572753906,83305400,AAPL
2021-02-03,130.3842010498047,133.94000244140625,135.77000427246094,133.61000061035156,135.75999450683594,89880900,AAPL
2021-02-04,133.7425994873047,137.38999938964844,137.39999389648438,134.58999633789062,136.3000030517578,84183100,AAPL
2021-02-05,133.3282470703125,136.75999450683594,137.4199981689453,135.86000061035156,137.35000610351562,75693800,AAPL
2021-02-08,133.4744873046875,136.91000366210938,136.9600067138672,134.9199981689453,136.02999877929688,71297200,AAPL
2021-02-09,132.5971221923828,136.00999450683594,137.8800048828125,135.85000610351562,136.6199951171875,76774200,AAPL
2021-02-10,131.99267578125,135.38999938964844,136.99000549316406,134.39999389648438,136.47999572753906,73046600,AAPL
