Date,Open,High,Low,Close,Adj Close,Volume,Ticker,rsi_14,sma_20,ema_12,bb_h,bb_l
2020-12-24,221.4199981689453,223.61000061035156,221.1999969482422,222.75,213.73748779296875,10550600,MSFT,65.25180869253677,216.56399993896486,219.15320539146447,223.98586782291412,209.1421320550156
2020-12-28,224.4499969482422,226.02999877929688,223.02000427246094,224.9600067138672,215.8580780029297,17933500,MSFT,69.01758451668319,217.05050048828124,220.0465594410649,225.2894363573409,208.8115646192216
2020-12-29,226.30999755859375,227.17999267578125,223.5800018310547,224.14999389648438,215.080810546875,17403200,MSFT,66.18636358018469,217.55449981689452,220.67785704959095,226.2244419384964,208.88455769529264
2020-12-30,225.22999572753906,225.6300048828125,221.47000122070312,221.67999267578125,212.7107696533203,20272300,MSFT,58.328814293315624,217.82799911499023,220.83203176131255,226.65472528342997,209.0012729465505
2020-12-31,221.6999969482422,223.0,219.67999267578125,222.4199981689453,213.4208221435547,20942100,MSFT,59.86609259259425,218.1804992675781,221.07633428556375,227.14838663049602,209.2126119046602
2021-01-04,222.52999877929688,223.0,214.80999755859375,217.69000244140625,208.88223266601562,37130100,MSFT,47.74247885243576,218.35299911499024,220.55536015569334,227.1420035042605,209.56399472572
2021-01-05,217.25999450683594,218.52000427246094,215.6999969482422,217.89999389648438,209.083740234375,23823000,MSFT,48.243597789899944,218.52999877929688,220.1468422696612,227.13078467152454,209.9292128870692
2021-01-06,212.1699981689453,216.49000549316406,211.94000244140625,212.25,203.6623077392578,35930700,MSFT,37.75348615559071,218.42799911499023,218.9319434589441,227.27243521092362,209.58356301905684
2021-01-07,214.0399932861328,219.33999633789062,213.7100067138672,218.2899932861328,209.4579315185547,27694500,MSFT,50.215947595399165,218.54199905395507,218.8331818938962,227.31733527403586,209.76666283387428
2021-01-08,218.67999267578125,220.5800018310547,217.02999877929688,219.6199951171875,210.73411560058594,22956200,MSFT,52.47244448010152,218.93299865722656,218.95423008209488,227.15105901841693,210.7149382960362
2021-01-11,218.47000122070312,218.91000366210938,216.72999572753906,217.49000549316406,208.6903076171875,23031300,MSFT,48.66794577215927,219.28149871826173,218.7289647607209,226.58296828819687,211.9800291483266
2021-01-12,216.5,217.10000610351562,213.32000732421875,214.92999267578125,206.23388671875,23249300,MSFT,44.49250491432427,219.364998626709,218.14450751688403,226.42325530352028,212.3067419498977
2021-01-13,214.02000427246094,216.75999450683594,213.92999267578125,216.33999633789062,207.5868682861328,20087100,MSFT,47.180428858896505,219.4719985961914,217.86689041242352,226.27404759951625,212.66994959286657
2021-01-14,215.91000366210938,217.4600067138672,212.74000549316406,213.02000427246094,204.4011688232422,29480800,MSFT,42.02066573734079,219.41649856567383,217.12121562166004,226.40747964231943,212.42551748902824
2021-01-15,213.52000427246094,214.50999450683594,212.02999877929688,212.64999389648438,204.04612731933594,31746500,MSFT,41.476252186100666,219.0849983215332,216.4333353562484,226.67365020548806,211.49634643757832
2021-01-19,213.75,216.97999572753906,212.6300048828125,216.44000244140625,207.6827850341797,30480900,MSFT,48.794300480052506,218.93599853515624,216.43436106165728,226.60904156462732,211.26295550568517
2021-01-20,217.6999969482422,225.7899932861328,217.2899932861328,224.33999633789062,215.26315307617188,37777300,MSFT,60.01725086613756,219.22349853515624,217.65061264261624,227.2460703969973,211.20092667331517
2021-01-21,224.6999969482422,226.3000030517578,222.4199981689453,224.97000122070312,215.86767578125,30709400,MSFT,60.7559446797239,219.34249877929688,218.77667242386036,227.62759456497238,211.05740299362137
2021-01-22,227.0800018310547,230.07000732421875,225.8000030517578,225.9499969482422,216.8079833984375,30172700,MSFT,61.93407451218579,219.44299850463867,219.8802608122268,227.99325053744707,210.89274647183026
2021-01-25,229.1199951171875,229.77999877929688,224.22000122070312,229.52999877929688,220.2431182861328,33152100,MSFT,65.95491998716405,219.86849822998047,221.36483588408373,229.47238990103355,210.2646065589274
2021-01-26,231.86000061035156,234.17999267578125,230.0800018310547,232.3300018310547,222.92987060546875,49169600,MSFT,68.73642335594877,220.3474983215332,223.05178449131003,231.33449858494836,209.36049805811805
2021-01-27,238.0,240.44000244140625,230.13999938964844,232.89999389648438,223.47682189941406,69870600,MSFT,69.28653275667071,220.74449768066407,224.56689363056762,232.88293757719308,208.60605778413506
2021-01-28,235.61000061035156,242.63999938964844,235.08999633789062,238.92999267578125,229.26283264160156,49111200,MSFT,74.41540665582683,221.4834976196289,226.7766011759851,235.9396452472225,207.0273499920353
2021-01-29,235.99000549316406,238.02000427246094,231.35000610351562,231.9600067138672,222.57484436035156,42503100,MSFT,61.60877030515795,221.99749832153321,227.5740481818131,237.15886843915322,206.8361282039132
2021-02-01,235.05999755859375,242.5,232.42999267578125,239.64999389648438,229.95372009277344,33314200,MSFT,68.12630095189564,222.85899810791017,229.43188598407022,239.86443356532413,205.8535626504962
2021-02-02,241.3000030517578,242.30999755859375,238.69000244140625,239.50999450683594,229.81935119628906,25916300,MSFT,67.90030119633715,223.94999771118165,230.98236421834187,242.24019037102696,205.65980505133635
