Date,Open,High,Low,Close,Volume,Ticker,rsi_14,sma_20,ema_12,bb_h,bb_l
2020-12-28,224.836669921875,227.13333129882812,220.26666259765625,221.22999572753906,96835800,TSLA,60.67707020096232,209.25283203125,214.86406474056793,231.0766490017194,187.42901506078059
2020-12-29,220.3333282470703,223.3000030517578,218.3333282470703,221.99667358398438,68732400,TSLA,61.136584699279574,210.8926658630371,215.9613891780166,231.3274555049207,190.45787622115353
2020-12-30,224.0,232.1999969482422,222.7866668701172,231.5933380126953,128538000,TSLA,66.42537758661109,212.7263328552246,218.36630438335175,233.67411631771608,191.7785493927331
2020-12-31,233.3300018310547,239.57333374023438,230.3733367919922,235.22332763671875,148949700,TSLA,68.18883481849697,215.00716552734374,220.95969257617745,235.31283155432058,194.7014995003669
2021-01-04,239.82000732421875,248.163330078125,239.06333923339844,243.2566680908203,145914600,TSLA,71.72789111814083,217.28033218383788,224.3899965015071,239.46128375651213,195.09938061116364
2021-01-05,241.22000122070312,246.94667053222656,239.73333740234375,245.0366668701172,96735600,TSLA,72.45902255730407,219.54816589355468,227.56640732744714,243.28739011451836,195.808941672591
2021-01-06,252.8300018310547,258.0,249.6999969482422,251.9933319091797,134100000,TSLA,75.16243519372541,221.45183258056642,231.32439572463676,248.89736927346536,194.00629588766748
2021-01-07,259.2099914550781,272.3299865722656,258.3999938964844,272.0133361816406,154496700,TSLA,80.95592891143836,224.22116622924804,237.58423271802198,259.28136198334926,189.16097047514685
2021-01-08,285.3333435058594,294.8299865722656,279.46331787109375,293.3399963378906,225166500,TSLA,84.97619523775225,228.8134994506836,246.1620425056941,273.5016508242913,184.12534807707587
2021-01-11,283.1333312988281,284.80999755859375,267.8733215332031,270.39666748046875,177904800,TSLA,68.2772414856781,231.8821662902832,249.89044634796713,279.07184551415577,184.69248706641068
2021-01-12,277.0,289.3333435058594,275.7799987792969,283.14666748046875,138812100,TSLA,71.61544292298032,235.8729995727539,255.0067880606597,286.12957547573825,185.61642366976957
2021-01-13,284.2533264160156,286.8233337402344,277.3333435058594,284.8033447265625,99937500,TSLA,72.02733911877112,239.44933319091797,259.59087370156783,292.8467086657617,186.05195771607424
2021-01-14,281.1300048828125,287.6666564941406,279.5833435058594,281.6666564941406,93798900,TSLA,69.95740056481233,242.97849960327147,262.9871479773483,297.72330826509796,188.233690941445
2021-01-15,284.0,286.6333312988281,273.0333251953125,275.38665771484375,116332800,TSLA,65.87554890690197,246.36833267211915,264.8947648600399,300.31848292441725,192.41818241982105
2021-01-19,279.26666259765625,283.3333435058594,277.6666564941406,281.51666259765625,76101000,TSLA,67.84762024421244,249.51249923706055,267.45197989659624,303.95798149012495,195.06701698399615
2021-01-20,286.2466735839844,286.5,279.09332275390625,283.48333740234375,76997700,TSLA,68.47703997783562,252.10333251953125,269.91834258978815,307.8219983936368,196.38466664542568
2021-01-21,285.0,285.239990234375,280.47332763671875,281.663330078125,61563300,TSLA,67.16663336038866,255.35549926757812,271.72526374183997,309.9925619361817,200.71843659897456
2021-01-22,278.10333251953125,282.6666564941406,276.2066650390625,282.21331787109375,60199500,TSLA,67.36984325777811,258.7938316345215,273.3388105309559,311.0520233179762,206.53563995106677
2021-01-25,285.0,300.1333312988281,279.6066589355469,293.6000061035156,123520200,TSLA,71.32658675183693,262.70749893188474,276.4559175421189,313.0470101346747,212.3679877290948
2021-01-26,297.1266784667969,298.6333312988281,290.5333251953125,294.36334228515625,69394800,TSLA,71.57542425213867,266.396166229248,279.21090596412466,314.617354530073,218.17497792842306
2021-01-27,290.1166687011719,297.1666564941406,286.2200012207031,288.0533447265625,82002000,TSLA,66.44232914752777,269.7373336791992,280.57128115834587,314.0818878653017,225.39277949309667
2021-01-28,273.3333435058594,282.6666564941406,267.0,278.4766540527344,79134000,TSLA,59.471345035733684,272.5613327026367,280.24903083440563,311.2133782226292,233.90928718264425
2021-01-29,276.6666564941406,280.8033447265625,260.0333251953125,264.510009765625,104972400,TSLA,51.05790620605799,274.2071662902832,277.82764297767017,308.2723243335224,240.142008247044
2021-02-01,271.42999267578125,280.6666564941406,265.1866760253906,279.9366760253906,76174200,TSLA,58.10753697232304,276.4428337097168,278.1521096003964,305.47832369003413,247.40734372939949
2021-02-02,281.55999755859375,293.5,280.73333740234375,290.92999267578125,73038600,TSLA,62.2774431573042,278.82649993896484,280.1179377658402,304.16507639684653,253.48792348108316
2021-02-03,292.3399963378906,292.6933288574219,284.35333251953125,284.89666748046875,55030500,TSLA,58.817194003005866,280.8194999694824,280.85312695270613,300.9484364405832,260.69056349838166
2021-02-04,285.0,285.5,277.8066711425781,283.3299865722656,47438100,TSLA,57.91729582279034,282.3863327026367,281.2341822787922,297.5660935634429,267.2065718418305
2021-02-05,281.6666564941406,288.25665283203125,279.65667724609375,284.07666015625,55699800,TSLA,58.245187601688876,282.9894989013672,281.67148656763186,297.4124504700742,268.5665473326602
